word	positive	negative	anger	anticipation	disgust	fear	joy	sadness	surprise	trust
Makten	1	0	0	0	0	0	0	0	0	0
Jntuitionen	1	0	0	0	0	0	0	0	0	1
Apostolischem	0	0	0	0	0	0	0	0	0	1
Blötzliche	0	0	0	0	0	0	0	0	1	0
schlegen	0	1	1	0	0	1	0	1	1	0
Jndividualität	1	0	0	0	0	0	0	0	0	0
Saugnapf	0	1	1	0	0	0	0	0	0	0
Undankbareste	0	1	1	0	1	0	0	0	0	0
Vereinen	0	0	0	0	0	0	0	0	0	1
Erzwäng	1	0	1	0	0	1	0	0	0	0
Bestäntige	0	1	0	0	0	1	0	0	0	0
Angenemsten	1	0	0	1	0	0	1	0	1	1
Angenemster	1	0	0	1	0	0	1	0	1	1
Apostolisches	0	0	0	0	0	0	0	0	0	1
Apostolischer	0	0	0	0	0	0	0	0	0	1
Stattlichers	1	0	0	0	0	0	0	0	0	0
Vergältung	0	1	1	0	0	1	0	1	0	0
Demüthigster	1	0	0	0	0	0	0	0	0	0
Demüthigstes	1	0	0	0	0	0	0	0	0	0
Tödlichem	0	1	1	0	1	1	0	1	0	0
Thöt	0	1	0	0	0	1	0	1	0	0
Sch-Atz	1	0	0	1	0	0	1	0	0	1
Tödlicher	0	1	1	0	1	1	0	1	0	0
Tödliches	0	1	1	0	1	1	0	1	0	0
entsezlich	0	1	0	0	1	1	0	0	0	0
Demüthigsten	1	0	0	0	0	0	0	0	0	0
Gotes	1	0	0	1	0	1	1	0	0	1
Betriga	0	1	1	0	1	1	0	1	1	0
Caen	1	0	0	0	0	0	0	0	0	0
Vnterbracht	0	1	1	0	0	0	0	0	1	0
Straffbahr	0	1	0	0	0	1	0	1	0	0
Fabrizirte	0	1	0	0	0	0	0	0	0	0
Gfehrten	1	0	0	0	0	0	0	0	0	1
Jornada	0	1	0	0	0	0	0	0	0	0
Bernehmen	0	1	0	0	0	0	0	0	0	0
Verfall'T	0	1	0	0	0	1	0	1	0	0
Eldesten	1	0	0	0	0	0	0	0	0	1
Heilegen	1	0	0	0	0	0	1	0	0	1
Schenrtzen	0	1	1	0	1	0	0	1	1	0
Wiederwärtige	0	1	0	0	1	0	0	0	0	0
Vberzeugete	1	0	0	1	0	0	0	0	0	1
Schhatz	1	0	0	1	0	0	1	0	0	1
