word	positive	negative	neutral
Empfehlenswert	1	0	0
knicken	0	1	0
statisch	0	1	0
Unzuverlässigkeit	0	1	0
Abbau	0	1	0
Reibkraft	0	1	0
Risiko	0	1	0
Anfressung	0	1	0
Schlacht	0	1	0
Diffamierung	0	1	0
Bläschenbildung	0	1	0
schwärmen	1	0	0
Höhlenmensch	0	1	0
Barsch	0	1	0
Achtlos	0	1	0
heissblütig	1	0	0
Hieb	0	1	0
Wortgewandtheit	1	0	0
Zuwarten	1	0	0
energisch	0	1	0
Grosszügigkeit	1	0	0
freizügig	1	0	0
Peinigung	0	1	0
besorgniserregend	0	1	0
ruhelos	0	1	0
wahrhaftig	1	0	0
Unmenschlichkeit	0	1	0
Gutunterrichtet	1	0	0
nährend	1	0	0
elegant	1	0	0
Kauderwelschte	0	1	0
Mirakel	1	0	0
bequ	1	0	0
drakonisch	0	1	0
Geruhen	0	1	0
abschwächen	1	0	0
Enteignete	0	1	0
Beschwerden	0	1	0
Geduldsspiel	0	1	0
Lieblos	0	1	0
annehmen	1	0	0
Unterbrechung	0	1	0
Unprätentiös	1	0	0
Lümmel	0	1	0
Präferenzensystem	1	0	0
herb	0	1	0
Schmarotzer	0	1	0
Anerkenntnis	1	0	0
gesellig	1	0	0
Knacki	0	1	0
Bedeutsamkeit	1	0	0
Selbstbestimmung	1	0	0
unwirtlich	0	1	0
sehnsüchtig	0	1	0
Albernheit	0	1	0
verletzt	0	1	0
Mangel	0	1	0
gewissenhaft	1	0	0
himmlisch	1	0	0
Individualität	1	0	0
reichen	1	0	0
unvollständig	0	1	0
Ausblick	1	0	0
Beruhigungsmittel	0	1	0
Zureden	0	1	0
Nachsicht	1	0	0
Überlebensfähigkeit	1	0	0
Herumtoben	0	1	0
Ärgernis	0	1	0
Bruchlinie	0	1	0
Invasor	0	1	0
Aufwärts	1	0	0
bewusst	1	0	0
Leistungsschwach	0	1	0
giftig	0	1	0
Verzückt	1	0	0
Verwöhnt	0	1	0
Missdeuten	0	1	0
Blindheit	0	1	0
hold	1	0	0
gefühllos	0	1	0
untreu	0	1	0
Alterung	0	1	0
Trickreich	0	1	0
Rivalität	0	1	0
deflationistisch	1	0	0
Aufgepumpt	0	1	0
Gewitter	0	1	0
Teuerung	0	1	0
Freistatt	1	0	0
Fehlordnung	0	1	0
Linker	0	1	0
deprimiert	0	1	0
Riegelte	0	1	0
wehrunwürdig	0	1	0
warmherzig	1	0	0
Eckpfeiler	1	0	0
akzeptierbar	1	0	0
nachteilig	0	1	0
schikanieren	0	1	0
fantastisch	1	0	0
Zweit	0	1	0
Honigmond	1	0	0
Unkraut	0	1	0
unterhaltsam	1	0	0
hysterischen	0	1	0
gedemütigt	0	1	0
Irrlehre	0	1	0
Mutlos	0	1	0
Heiligkeit	1	0	0
auswachsen	0	1	0
Bündnispartner	1	0	0
unterstützen	1	0	0
Erfindungsgabe	1	0	0
Bestehen	1	0	0
Durchdenken	1	0	0
Stillstand	0	1	0
kurios	1	0	0
Wunderdoktor	1	0	0
Kehrseite	0	1	0
kampflustig	0	1	0
rechtsgültig	1	0	0
Abnötigen	0	1	0
Auferweckung	1	0	0
Trost	1	0	0
hundemüd	0	1	0
entmutigt	0	1	0
Bresche	0	1	0
Wille	1	0	0
schütteln	0	1	0
wiedererwachen	1	0	0
Bewundernder	0	1	0
Absackung	0	1	0
Stolzieren	0	1	0
verwertbar	1	0	0
Fechtete	0	1	0
Schlingern	0	1	0
fie	0	1	0
falsch	0	1	0
gebildet	1	0	0
Windung	0	1	0
verhängnisvoll	0	1	0
anlegen	1	0	0
versunken	1	0	0
Backfisch	0	1	0
Aktualität	1	0	0
Getreidebrand	0	1	0
Brillanz	1	0	0
Widerwille	0	1	0
Bedauernd	0	1	0
widerstrebend	0	1	0
interrupt	0	1	0
Beschmutzer	0	1	0
zucken	0	1	0
Aktivposten	1	0	0
klingen	1	0	0
Hausarbeit	0	1	0
Verletzer	0	1	0
Angenehmes	1	0	0
unbeirrbar	1	0	0
Gewimmel	0	1	0
rechthaberisch	0	1	0
abenteuerlich	1	0	0
Penibel	0	1	0
zwecklos	0	1	0
Risikofreie	1	0	0
Paranoia	0	1	0
Abgrabung	0	1	0
eingeweiht	1	0	0
Vergangenheitswert	1	0	0
unwahrscheinlich	0	1	0
Ausbeute	0	1	0
Peinlichkeit	0	1	0
Irrsinnigkeit	0	1	0
nachträglich	0	1	0
Spreu	0	1	0
Kulanz	1	0	0
Behaglichkeit	1	0	0
Unbekümmertheit	0	1	0
Riegeln	0	1	0
überflüssig	0	1	0
befähigt	1	0	0
Super	1	0	0
Ausgemustert	0	1	0
Gewickelt	0	1	0
Abrasiv	0	1	0
Götterbild	1	0	0
Befiel	0	1	0
zeitgemäss	1	0	0
Ego	0	1	0
brauchen	0	1	0
Veritabel	1	0	0
weniger	0	1	0
Paraphilie	0	1	0
Schadenübertreibung	0	1	0
Verfeinden	0	1	0
Freiraum	1	0	0
gemächlich	1	0	0
Freizügigkeit	1	0	0
Nachträglicher	0	1	0
widerrufen	0	1	0
Hort	0	1	0
bedachtsam	1	0	0
Amüsement	1	0	0
Ungutes	0	1	0
blasphemisch	0	1	0
bevorstehend	0	1	0
Erbschaft	1	0	0
Übergeschnappt	0	1	0
mürrisch	0	1	0
Faselei	0	1	0
für	1	0	0
abscheuerregend	0	1	0
Gesandte	1	0	0
Hautausschlag	0	1	0
prinzipiell	1	0	0
Enteignen	0	1	0
Ahnungslosigkeit	0	1	0
Keusch	1	0	0
Eigenbrötelei	0	1	0
fetthaltig	0	1	0
Autark	1	0	0
Krisengeschüttelt	0	1	0
Unausgereift	0	1	0
unbestreitbar	1	0	0
genügend	1	0	0
Unbeherrscht	0	1	0
kränkend	0	1	0
Gefrässigkeit	0	1	0
blutrünstig	0	1	0
Vertiefung	0	1	0
überbieten	1	0	0
galant	1	0	0
hysterisch	0	1	0
Peinigte	1	0	0
Absetzung	0	1	0
Gelächter	0	1	0
Schein	1	0	0
Auflegung	0	1	0
Nichtanerkennung	0	1	0
Kunstkritikerin	0	1	0
Vergnügen	1	0	0
treu	1	0	0
Lebendigkeit	1	0	0
bestrafen	0	1	0
Tadelnd	0	1	0
Sensationspresse	1	0	0
Filou	0	1	0
abratend	0	1	0
leugnen	0	1	0
Freundschaftlichkeit	1	0	0
intermittierend	0	1	0
Besoffene	0	1	0
Band	0	1	0
Tadellos	1	0	0
Inhibition	0	1	0
Benommen	0	1	0
Geringachtung	0	1	0
praktisch	1	0	0
langsam	0	1	0
Favorit	1	0	0
Gräuel	0	1	0
unwiderleglich	1	0	0
Verdrosch	0	1	0
abnehmend	0	1	0
unweigerlich	0	1	0
Wuchern	1	0	0
schwerverdaulich	0	1	0
Ungeduld	0	1	0
schmeichlerisch	1	0	0
Ermächtigung	1	0	0
Unangemessenheit	0	1	0
Einsturz	0	1	0
Unehre	0	1	0
Durchschlagkraft	1	0	0
Gspusi	0	1	0
Affentheater	0	1	0
Büsser	0	1	0
infizieren	0	1	0
Bezaubernd	1	0	0
Abschwung	0	1	0
Schiffsunglück	0	1	0
Zutrauen	1	0	0
Erfolgswirksamkeit	1	0	0
Egotismus	0	1	0
Sehnsuchtsvoll	0	1	0
Animus	0	1	0
Unbestätigtes	0	1	0
Ranken	1	0	0
schiffbar	1	0	0
Schreckgespenst	0	1	0
Stammelte	0	1	0
beschneiden	0	1	0
detailliert	1	0	0
klein	0	1	0
Lenkwaffenzerstörer	0	1	0
Dämon	0	1	0
belehrend	0	1	0
Grosszügigerweise	1	0	0
Changeant	0	1	0
zögerlich	0	1	0
Underdog	0	1	0
Epidemie	0	1	0
Behändigkeit	1	0	0
angriffslustig	0	1	0
Verleumdete	0	1	0
schwach	0	1	0
bezwingen	0	1	0
lebend	1	0	0
verachtenswert	0	1	0
auslassen	1	0	0
fair	1	0	0
Herbheit	0	1	0
Diskrepant	0	1	0
Unlust	0	1	0
Bissigkeit	0	1	0
Liquiditätsproblemen	0	1	0
diskreditieren	0	1	0
charismatischen	1	0	0
Beschnitt	0	1	0
geborgen	1	0	0
irr	0	1	0
Umfang	0	1	0
auffallend	0	1	0
Riss	0	1	0
kräftigend	1	0	0
Faxe	0	1	0
menschenwürdig	1	0	0
Kippsicherheit	1	0	0
Ausflucht	0	1	0
Hinterhalt	0	1	0
Puzzlespiel	0	1	0
Brandstifter	0	1	0
Ungeprüft	0	1	0
Eingebaut	1	0	0
Stupidität	0	1	0
Leidwesen	0	1	0
genug	1	0	0
beissend	0	1	0
homosexuell	0	1	0
uneinbringlich	0	1	0
Degeneriert	0	1	0
erfüllen	1	0	0
Unredlichkeit	0	1	0
aktuell	1	0	0
zuverlässig	1	0	0
ehrwürdig	1	0	0
Bekümmert	0	1	0
Drehkrankheit	0	1	0
Krake	0	1	0
Entwürdigung	0	1	0
Rückständigkeit	0	1	0
Anekeln	0	1	0
gerne	1	0	0
Bekümmern	0	1	0
aufnahmefähig	1	0	0
intuitiv	1	0	0
Verdiente	1	0	0
lehnen	0	1	0
Ungehörigkeit	0	1	0
traurig	0	1	0
Anbetung	1	0	0
Prachtstück	1	0	0
schweigemärschen	0	1	0
Spottete	0	1	0
Schuld	0	1	0
Ganzzahligkeit	1	0	0
betäubend	0	1	0
Hofieren	1	0	0
Hassliebe	0	1	0
Erholung	1	0	0
Liebste	1	0	0
Bedürfnis	0	1	0
erst	1	0	0
Engelch	1	0	0
Erniedrigte	0	1	0
schicksalhaft	0	1	0
Auszahlung	1	0	0
Miesmacher	0	1	0
Agitation	0	1	0
Kaufunlust	0	1	0
Pikee	0	1	0
Abundanz	1	0	0
Schusterjunge	0	1	0
Erstaunlicherweise	1	0	0
Schliere	0	1	0
Schweifen	0	1	0
Ununterrichtet	0	1	0
Masslos	0	1	0
grenzen	0	1	0
Fötid	0	1	0
Unbeendet	0	1	0
Krankheit	0	1	0
Streberhaft	0	1	0
wenden	1	0	0
Versteck	0	1	0
dichterisch	1	0	0
unverzeihlich	0	1	0
Krankheitserreger	0	1	0
Amortisierung	0	1	0
aufräumen	1	0	0
entbehrlich	0	1	0
Gesundheit	1	0	0
Belichtet	0	1	0
Waise	0	1	0
schluchzen	0	1	0
enttäuschend	0	1	0
Vorsätzliche	0	1	0
ankommen	1	0	0
Einklemmung	0	1	0
anstauchen	0	1	0
unglücklich	0	1	0
Entzweiung	0	1	0
dürfen	1	0	0
Ungewissheit	0	1	0
Lügenmaul	0	1	0
Abschleifen	0	1	0
desillusionieren	0	1	0
Verbilligen	0	1	0
belegen	1	0	0
Fruchtbarkeit	1	0	0
Streit	0	1	0
Enttäuschung	0	1	0
gefällig	1	0	0
Verfehlt	0	1	0
wahr	1	0	0
altfränkisch	1	0	0
Gruppenklagen	0	1	0
falten	0	1	0
unveräusserlich	1	0	0
vollständig	1	0	0
Vergeudet	0	1	0
Wutanfall	0	1	0
Ferkelei	0	1	0
Linkswähler	0	1	0
Aufreissen	0	1	0
scheitern	0	1	0
stöhnen	0	1	0
verleitend	1	0	0
wohlwollend	1	0	0
Abhilfe	1	0	0
teuflisch	0	1	0
Blühte	1	0	0
Inkompetenz	0	1	0
Aufschliessen	1	0	0
entmutigen	0	1	0
Aushalten	1	0	0
Orgie	0	1	0
Kannibale	0	1	0
Unparteilichkeit	1	0	0
Behelf	0	1	0
gerechtfertigt	1	0	0
erzwungen	0	1	0
Eckstein	1	0	0
ausgezeichnet	1	0	0
Eminenz	1	0	0
furchteinflössend	0	1	0
sonderbar	0	1	0
Idiot	0	1	0
oll	0	1	0
bereit	1	0	0
ebbte	0	1	0
unergiebig	0	1	0
