Title: Der Misogyn
Number of all tokens: 0
Nummber of different tokens: 2537

Token	Frequency
Sie	347
ich	327
nicht	257
zu	190
daß	178
es	170
die	161
und	158
so	148
Ich	144
ist	142
mir	130
der	119
sie	111
das	109
mich	98
mit	96
sein	93
er	92
in	89
du	79
wenn	78
den	78
Herr	76
nur	75
ein	74
als	74
doch	72
haben	71
von	70
eine	68
sich	68
will	67
hat	61
auf	59
Lelio	58
Ihnen	56
auch	53
kann	52
habe	52
was	51
mein	51
noch	49
meine	49
einen	46
dem	44
Aber	44
wohl	44
wie	44
für	42
soll	41
Vater	41
sagen	41
ihn	40
ihr	40
Und	39
man	37
ihm	37
denn	37
wird	36
ja	36
an	36
werden	36
Wie	35
machen	35
muß	34
können	33
aus	32
Schwester	32
dich	32
Nun	32
werde	31
schon	31
wollen	31
dir	30
sind	30
aber	29
Leander	29
einem	29
war	28
Sohn	28
Hilaria	28
Bruder	27
eben	27
wäre	27
selbst	26
Das	26
mehr	26
müssen	25
Was	25
nichts	24
meiner	24
bin	24
weiß	24
bei	24
viel	24
sehr	24
würde	23
einmal	23
Tochter	23
des	23
Ihre	23
meinem	23
wir	23
Es	21
gewesen	21
Solbist	21
sehen	20
oder	20
meinen	20
Valer	20
Die	20
nun	20
Liebe	20
kommen	20
einer	19
Wenn	19
Laura	19
wieder	19
gar	19
vor	19
O	19
da	18
uns	18
Du	18
über	18
Er	18
Augen	18
Ja	18
jetzt	17
diese	17
gewiß	17
im	17
seine	17
ob	17
ganz	17
sollte	16
alles	16
durch	16
Leandern	16
dieses	15
gut	15
hören	15
Ihr	15
nach	15
also	15
gleich	15
genug	14
wissen	14
lieber	14
hätte	14
sollen	14
hast	14
So	14
Unglück	14
kömmt	14
Frau	14
deine	14
ab	14
Ihrer	13
Mann	13
Herrn	13
etwas	13
um	13
hätten	13
Wumshäter	13
Johann	12
Meine	12
recht	12
lassen	12
wollte	12
gehen	12
könnte	12
Weiber	12
seinem	12
Doch	12
bald	12
wenig	11
gemacht	11
Ihrem	11
keine	11
endlich	11
Ist	11
Mein	11
zwar	11
weil	11
ihre	11
Welt	11
allein	11
gegen	10
Pars	10
andern	10
lieben	10
bringen	10
glücklich	10
denken	10
tun	10
Prozeß	10
am	10
ohne	10
alle	10
klug	10
länger	10
heute	10
unmöglich	10
halten	10
glauben	10
getan	10
Als	9
wahr	9
Zeit	9
andere	9
unter	9
immer	9
nehmen	9
geht	9
allen	9
Wo	9
gesetzt	9
Ei	9
Nein	9
kannst	9
seiner	9
oft	9
geben	8
wirklich	8
deinen	8
deiner	8
Lassen	8
anders	8
zur	8
Hand	8
Wir	8
Ihren	8
folgen	8
Eine	8
aller	8
sag	8
glaube	8
darf	8
gesagt	8
einander	8
Recht	8
hatte	8
Auch	8
Frauenzimmer	8
Himmel	8
wenigstens	8
eher	8
damit	8
Rede	8
sehe	8
wer	8
Ein	8
hier	8
Der	8
dazu	7
drei	7
Person	7
Herz	7
dieser	7
eines	7
wo	7
bis	7
Art	7
vielleicht	7
nunmehr	7
mag	7
antworten	7
sollten	7
je	7
Sache	7
Madmoisell	7
möglich	7
Menschen	7
gehört	7
erfahren	7
bekommen	7
darüber	7
Gleichheit	7
Mutter	7
sei	7
dein	7
erste	7
weit	7
bist	7
Gut	7
seinen	7
Nicht	7
längst	7
liebe	7
Jungfer	7
ins	7
geworden	6
willst	6
wirst	6
weiter	6
Schweig	6
desto	6
ihrer	6
schönste	6
lange	6
ähnlich	6
Da	6
Noch	6
kurz	6
Wer	6
leicht	6
Je	6
besser	6
meines	6
Betrachtung	6
Kommen	6
sondern	6
Warum	6
kein	6
Verzeichnis	6
Paradies	6
Vaters	6
Daß	6
Erfahrung	6
reden	6
Gott	6
Geht	6
darauf	6
daraus	6
gern	6
Hause	6
Leichtgläubigkeit	6
verloren	6
Glück	6
möchte	6
Denn	6
welche	6
Gewiß	6
andre	5
schöne	5
Wasser	5
vorher	5
Zu	5
bösen	5
deinem	5
In	5
diesem	5
gehabt	5
ganze	5
ihren	5
sage	5
ihrem	5
Geschlecht	5
zum	5
unserm	5
Torheit	5
wegen	5
liebster	5
geschwind	5
hoffe	5
dabei	5
Lisette	5
los	5
Stille	5
Verdruß	5
Bedingung	5
euch	5
Schaden	5
warum	5
reisen	5
finden	5
Gesicht	5
beide	5
Man	5
bleiben	5
Seele	5
ersten	5
Mit	5
Sind	5
kaum	5
Höre	5
sollst	5
Stadt	5
Adam	5
freilich	5
Lust	5
jemals	4
vergleichen	4
Heiraten	4
laß	4
höre	4
Will	4
Antwort	4
Lisettchen	4
weniger	4
Vergnügen	4
Vernunft	4
dafür	4
Freilich	4
gefällt	4
erst	4
Schmeicheleien	4
nie	4
sprechen	4
niemals	4
Sagen	4
stiften	4
verbunden	4
Ende	4
fort	4
macht	4
deswegen	4
Tat	4
Dingen	4
unsere	4
Sage	4
Einwilligung	4
hoffen	4
st	4
entbehren	4
sah	4
Geduld	4
Bitte	4
versichert	4
darin	4
Wort	4
Hätte	4
hernach	4
kennen	4
welcher	4
her	4
überzeugt	4
gleichwohl	4
Ehre	4
Mamsell	4
Braut	4
Habe	4
könnten	4
Körper	4
besitzen	4
St	4
List	4
Leanders	4
Weibern	4
würden	4
nein	4
vollkommen	4
Nur	4
steht	4
Gehorsam	4
sonst	4
wußte	4
Tage	4
Manne	4
fürchte	4
Tagen	4
besonders	4
gewonnen	4
Indem	4
besten	4
erklären	4
danken	4
Verstand	4
erstaunen	4
Mannsperson	4
Allein	4
bitte	4
ungeduldig	4
seines	4
etwa	4
seit	4
gefallen	4
suchen	4
gebe	4
Weibsbild	4
Gelegenheit	4
Ohr	4
zwei	4
geringsten	4
daran	4
guten	4
ha	4
davon	4
einzige	4
vortrefflich	4
wären	3
mußt	3
voraus	3
wahrhaftig	3
fällt	3
Merken	3
graue	3
Acht	3
einigen	3
bringe	3
spät	3
vergessen	3
verschwiegen	3
Hülfe	3
Rechte	3
diesen	3
Gönner	3
geliebt	3
Eigenschaften	3
bitten	3
Ganz	3
abgeschmackt	3
Sei	3
gefangen	3
Macht	3
Bruders	3
erschaffen	3
Bis	3
Leute	3
anfangen	3
Worte	3
wider	3
müsse	3
Sies	3
dächte	3
dürfen	3
Garten	3
schäme	3
gewinnen	3
gefunden	3
lieb	3
Beste	3
geschieht	3
Schulden	3
leiden	3
woher	3
Von	3
Falle	3
wolltest	3
meisten	3
hatten	3
selber	3
gestraft	3
Sachte	3
einzigen	3
Weiberfeinde	3
Ihres	3
liebte	3
bleibt	3
lächerlich	3
Advokat	3
größte	3
Verdacht	3
Gesellschaft	3
gebracht	3
schuldig	3
Kurz	3
Treten	3
Furcht	3
führen	3
ansehen	3
bereits	3
Alles	3
Mädel	3
Erlauben	3
viele	3
Kann	3
Glücke	3
hochzuehrender	3
Mädchen	3
Ankunft	3
bloß	3
erzeigen	3
zuvor	3
vergeben	3
unangenehm	3
fein	3
zuerst	3
Darf	3
unser	3
richtig	3
breit	3
übel	3
worden	3
liebste	3
heißt	3
glaubt	3
Auf	3
alsdenn	3
streiten	3
schlechten	3
halte	3
Oder	3
dreimal	3
heiraten	3
Alter	3
närrisch	3
nötigen	3
ernsthaft	3
geringste	3
fallen	3
läßt	3
Erzählung	3
bedenken	3
Ursache	3
Unrecht	3
Hören	3
arm	3
seh	3
gegeben	3
finde	3
dadurch	3
zusammen	3
Freundschaft	3
Nach	3
Gegenwart	3
Heirat	3
möchten	3
verlassen	3
Wette	3
Namen	3
schlechte	3
Ob	3
acht	3
geglaubt	3
Umstände	3
Gewogenheit	3
Nase	3
schicken	3
Familie	3
genießen	3
gütig	3
einige	3
schön	3
Gegen	3
zwischen	3
leichter	3
weiblichen	3
Brautwerber	3
Fragen	3
Register	3
Hochedelgeborner	3
Übel	3
hinderlich	3
große	3
dahin	3
gelten	3
ichs	3
zurück	3
Herzen	3
jemand	3
Briefe	3
stehen	3
Vielleicht	3
verlangen	3
keinen	3
Untreue	3
Wahrheit	3
Kopf	3
weg	3
gute	3
insonders	3
kleinen	3
erstaune	3
Vertrauen	3
Weiberfeindschaft	3
Mensch	3
Ihrigen	3
gesehen	2
nieder	2
Sprache	2
Schönheit	2
Farbe	2
Hier	2
Wuchs	2
Weibsbilde	2
Miene	2
Unglücke	2
magst	2
vom	2
Verderbens	2
unsinnige	2
Paradiese	2
sicher	2
hintergehen	2
wann	2
dieselben	2
Scham	2
glaubte	2
könntest	2
versprechen	2
Aufrichtigkeit	2
verbindlich	2
Weise	2
Anverwandten	2
Drei	2
deines	2
Seite	2
völlig	2
Bleib	2
Geheimnisse	2
gegangen	2
Verkleidung	2
herkommen	2
vieles	2
leugnen	2
entschuldigen	2
Anschlag	2
Einfall	2
deren	2
lebt	2
kleine	2
Sinne	2
Mache	2
dessen	2
daher	2
sieh	2
weswegen	2
klein	2
küßt	2
Ehen	2
vielmehr	2
schämen	2
Sohne	2
vortreffliche	2
erhalten	2
Unglücklicher	2
könne	2
Mienen	2
Handlung	2
Sieh	2
vergeb	2
erzählen	2
weisen	2
vertrauen	2
ankommen	2
schließen	2
gekommen	2
unbekannten	2
ihres	2
zweiten	2
Beweis	2
lasse	2
verlangt	2
gönnen	2
schwarz	2
verwünschte	2
Zärtlichkeit	2
müßt	2
Ha	2
hundertmal	2
bloße	2
Schwager	2
darunter	2
bestärkt	2
nochmals	2
woran	2
verdienen	2
behandelt	2
wahrscheinlicher	2
Bauer	2
Vor	2
Taler	2
dacht	2
größer	2
Uneinigkeit	2
Erstaunen	2
Eben	2
gehorchen	2
herzlich	2
mache	2
gerechteste	2
gesucht	2
Gütigkeit	2
Wahrhaftig	2
alte	2
Tölpel	2
Gange	2
ehrlichen	2
hochschätze	2
versucht	2
groß	2
stolz	2
Freunde	2
Mademoisell	2
ausgegangen	2
ungern	2
Probe	2
richtiges	2
mußte	2
zweite	2
Schlimmen	2
Antworten	2
Sachen	2
blind	2
liegt	2
wüßte	2
verheiratet	2
gehn	2
erbitten	2
Schätzbarste	2
allem	2
Jungen	2
lernen	2
Ähnlichkeit	2
betrachten	2
Alters	2
merken	2
einräumen	2
hieher	2
tut	2
Partes	2
Jahr	2
sichs	2
tue	2
Verbeugung	2
Hast	2
Unmöglich	2
sauer	2
Mund	2
zugleich	2
Höflichkeit	2
bereden	2
begegnen	2
geschickt	2
Getroffen	2
ließ	2
Nebenbuhler	2
unschuldigen	2
Kinder	2
Gebieterin	2
wärst	2
nötig	2
Neigung	2
Laß	2
Nu	2
Küche	2
welchen	2
schönen	2
begangen	2
Aufwartung	2
Wissen	2
zanken	2
pfui	2
sagst	2
notwendig	2
verdrüßlichen	2
Äußerlichen	2
waren	2
Liebhaber	2
aufzuwickeln	2
zweimal	2
Türe	2
Ähnliches	2
leid	2
Jahren	2
Pfui	2
darum	2
dieselbe	2
Gewissen	2
mirs	2
fürchtete	2
irren	2
Augenschein	2
frei	2
gemerkt	2
insgesamt	2
alten	2
Muß	2
ihrentwegen	2
weitläuftig	2
nimmermehr	2
Tag	2
ersparen	2
versteh	2
hassen	2
zufrieden	2
wagen	2
Welche	2
dann	2
überall	2
Vergebung	2
reise	2
schamrot	2
Vollkommenheiten	2
Im	2
Achtung	2
rechtschaffenen	2
enthielt	2
denkt	2
Hat	2
nehme	2
Händen	2
Freude	2
bedient	2
hin	2
Dieses	2
Anschlage	2
Gesichtsbildung	2
gefaßt	2
gewissen	2
Tode	2
Fehler	2
zwingen	2
müßten	2
erfährt	2
Schlimmste	2
verdrüßlich	2
bekomme	2
andermal	2
stellen	2
verdient	2
Rate	2
rechte	2
häuslichen	2
findet	2
Zweifel	2
erwartet	2
rechten	2
mögen	2
demjenigen	2
Wiedersehen	2
Nehmen	2
mehreres	2
gehalten	2
Schicksal	2
sähe	2
Feind	2
helfen	2
heimlich	2
bedacht	2
gestanden	2
prozessieren	2
verschonen	2
An	2
mitgeben	2
Leben	2
zuversichtlich	2
Bist	2
Komödienschreiber	2
reich	2
gelegt	2
denke	2
habt	2
verwickelt	2
verdammten	2
verwickeln	2
künftigen	2
Hut	2
befehlen	2
liebst	2
triumphierenden	2
kenne	2
wette	2
Sobald	2
eifersüchtig	2
solchen	2
Über	2
Kuppeln	2
Liebkosungen	2
geheim	2
geraten	2
heraus	2
welchem	2
einbilden	2
Zuflucht	2
zärtlich	2
hierin	2
Stolz	2
begehen	2
Kaufmann	2
Schelm	2
Haben	2
leben	2
trauen	2
setzen	2
Hatten	2
Blumenstrauße	2
ungehalten	2
Rolle	2
verständiger	2
besinnen	2
Schöne	2
Sentenz	2
Geh	2
Hoffnung	2
gezogen	2
Vors	2
Einem	2
Werde	2
feurig	2
Willen	2
Vergleichen	2
hiervon	2
eins	2
weder	2
Bildung	2
erkennen	2
wolle	2
Lebhaftigkeit	2
melden	2
hängen	2
aussterben	2
Gehülfin	2
Haus	2
Reize	2
müßte	2
Unsinnigkeit	2
Respekt	1
Liebste	1
laßt	1
Werts	1
versprichst	1
euerm	1
kömmts	1
Platz	1
richten	1
Trotz	1
gerade	1
Verbindlichkeiten	1
offenbare	1
pflegen	1
Denkungsart	1
zweideutig	1
Fortspielen	1
nachgelesen	1
Handelsmann	1
denselben	1
versprach	1
verfolgen	1
Unzeit	1
Rufen	1
angefangen	1
warne	1
fleißig	1
Flattergeist	1
Kindheit	1
Diese	1
Krähe	1
toll	1
annehmen	1
übermäßiger	1
begucken	1
überzeugen	1
allzuwohl	1
unterschieden	1
verspreche	1
Vorteil	1
gelebt	1
Gestehen	1
versprochenen	1
Mangel	1
gesinnt	1
Wird	1
Verführungen	1
Frist	1
reichen	1
Gefälligkeit	1
Freuden	1
sicherer	1
schmeichle	1
ausfallen	1
einigem	1
arme	1
Ruin	1
Dinge	1
Fingers	1
Stutzerchen	1
warm	1
hole	1
Stube	1
Erkläre	1
untreu	1
Habit	1
heirate	1
männliche	1
anstehen	1
Höflichkeitsbezeigungen	1
Sähe	1
niemand	1
satt	1
Maskerade	1
Jetzt	1
Legen	1
Schwerlich	1
Raserei	1
neue	1
hört	1
überhaupt	1
standhaft	1
weibliche	1
Anstatt	1
billig	1
Rückzuge	1
scheinenden	1
dreimaligen	1
außerordentlich	1
antreffen	1
Augenblick	1
künftger	1
getragen	1
verstellt	1
gütige	1
Trost	1
erweisen	1
Frage	1
höchste	1
Allzuglücklicher	1
öffentlichen	1
Gestalt	1
mitnehmen	1
ungetreuen	1
Haushaltung	1
Akten	1
aufrichtiges	1
bisher	1
Antrag	1
äußerstes	1
Maske	1
bestrickt	1
Zieh	1
erschrecklich	1
befreiet	1
zufriedener	1
Desto	1
Schatten	1
Klotz	1
verabscheuen	1
Stirne	1
erwidert	1
blinden	1
behutsamsten	1
Beitrag	1
Geschwind	1
gedenken	1
Mühle	1
Anpreisung	1
Köpfchen	1
Verzeihen	1
Hure	1
angehalten	1
unterstehst	1
Ehekriepel	1
unterscheiden	1
Wurzeln	1
brauchen	1
ange	1
erlangten	1
vorbereiten	1
betauerten	1
Mannskleidern	1
kömmst	1
Ernste	1
Gleichwohl	1
nichtswürdigen	1
glaßierten	1
angemerkt	1
werdenden	1
Worten	1
dritten	1
Schuhen	1
gefährlich	1
raten	1
tot	1
Närrin	1
Woher	1
versagt	1
Ungewissen	1
Vexieren	1
Ungewisses	1
albern	1
Narren	1
nahe	1
verbinde	1
vielem	1
galant	1
vielen	1
Nichtswürdiges	1
Geschlechts	1
Gleichgültigkeit	1
Nichtswürdigen	1
See	1
Ihrige	1
