word	emotion	arousel
Makten	0.735294118	2.526315789
entstund'	1.176470588	2.105263158
Oppositionen	-0.176470588	3.380952381
habgier	-1.7	3.722222222
verküßt	2.617647059	3.178571429
schlegen	-1.911764706	3.944444444
Portwein	1.1	2.166666667
Paare	1.764705882	1.944444444
Vall'	-1.090909091	2.833333333
verweigeren	-0.911764706	3.0
K@nntnisse	1.147058824	2.222222222
Μένιππε	-1.25	3.777777778
berührt'	1.794117647	2.892857143
Vhrtheil	-0.15	3.222222222
verweigeret	-0.911764706	3.0
Kreise	0.382352941	1.888888889
schleget	-1.911764706	3.944444444
hassist	-2.5	4.444444444
nänne	0.294117647	2.0
überzeugst	0.5	2.952380952
anzulege	0.205882353	2.0
SCHAAF	1.14	1.73
getrettn	-1.117647059	2.631578947
stain	0.23	2.0
mauligen	-1.4	3.157894737
toleranteste	2.0	2.333333333
Stvnd	0.25	2.055555556
Düftgen	1.7	2.388888889
Betriga	-2.05	3.8
Welder	1.5	2.166666667
Mawrn	-0.5	2.777777778
DAchse	0.45	2.5
berührts	1.794117647	2.892857143
Wochen	0.15	1.944444444
allerleichtsten	0.8	2.095238095
entstunde	1.176470588	2.105263158
Morter	-2.1	3.444444444
GOld	1.4	2.5
qvaal	-2.7	4.111111111
Valle	-1.7	4.0
gier'gen	-1.5	3.947368421
Spraache	1.735294118	2.611111111
Küpper'schen	2.18	2.73
erinneren	1.352941176	3.0
wört	0.764705882	2.0
entstundt	1.176470588	2.105263158
getobt	-1.1	3.631578947
berührte	1.794117647	2.892857143
Hoegen	0.5	3.263157895
fterben	-1.823529412	4.055555556
GASTS	1.411764706	2.277777778
WINTER	0.323529412	2.055555556
Freünden	2.7	3.411764706
bestetigete	0.970588235	2.210526316
Wecket	-0.6	2.947368421
liaisons	1.0	3.166666667
Fortsetz	0.852941176	2.333333333
mohre	0.4	2.333333333
salzicht	-0.1	3.0
muthig	2.2	3.315789474
anrüffend	1.205882353	2.842105263
Sach	0.25	2.157894737
Karafa	0.41	1.95
VErnunfft	1.5	2.611111111
Sancet	-1.264705882	3.263157895
Demokratien	0.617647059	3.263157895
entstuhnden	1.176470588	2.105263158
verbandes	-1.18	2.95
verbandet	1.205882353	2.526315789
τασέ	0.73	1.82
daucht	0.941176471	2.684210526
streichest	-0.352941176	2.321428571
Schreibst	1.470588235	2.571428571
Portweins	1.1	2.166666667
Loes	1.058823529	2.631578947
Meidend	-1.1	3.0
Loew	0.36	4.05
Venvs	1.6	3.0
FIGUREN	0.35	2.526315789
gesichten	1.0	2.666666667
Ochßen	0.1	2.5
feyer-tage	1.9	1.941176471
staunte	0.8	3.105263158
programms	0.294117647	2.388888889
hbogen	0.8	1.947368421
anböhte	0.676470588	1.736842105
Strümpse	0.45	1.59
Negationen	-1.2	2.722222222
Zaubers	1.55	3.555555556
Einklanges	1.9	1.529411765
Börs'	-0.647058824	2.052631579
mumien	-0.6	2.842105263
Erzeuget	0.941176471	2.571428571
erhobenes	0.088235294	2.095238095
spott'	-1.2	3.631578947
berichet	-0.029411765	2.277777778
Erzeuger	0.8	3.052631579
Papagoy	1.55	3.18
zeerung	-1.8	3.444444444
BIRR	0.7	2.894736842
säzen	0.235294118	1.952380952
feufzen	-1.1	2.473684211
Sippe	-0.5	2.444444444
liefre	0.6	2.107142857
kan'	1.676470588	2.736842105
Haluncken	-1.4	3.5
erhobenen	0.088235294	2.095238095
erhobenem	0.088235294	2.095238095
Erzeugen	0.941176471	2.571428571
fülleten	0.529411765	2.107142857
außbruch	-0.7	3.476190476
Befreyungs	2.205882353	3.380952381
chint	1.8	2.444444444
letzten	-1.2	3.157894737
Führunge	-0.470588235	2.444444444
Auche	1.117647059	2.055555556
auswurff	-0.9	2.368421053
Lücht	2.0	2.611111111
Duftend	1.5	2.444444444
senftzet	1.3	1.8
allerfreulichsten	1.5	2.5
Weych	1.2	1.368421053
Befreyunge	2.205882353	3.380952381
soffest	-0.9	2.894736842
äides	0.1	3.526315789
abfarth	0.3	3.117647059
dapffersten	1.7	3.105263158
Hymmel	2.25	1.65
Säufzen	-1.1	2.473684211
Börse	-0.647058824	2.052631579
bündnisses	0.294117647	2.444444444
Cynismus	-1.1	3.833333333
Geschäncke	2.3	3.470588235
ueben	0.382352941	2.476190476
Farthen	0.941176471	2.368421053
Schwesstern	1.323529412	1.857142857
Sylbernen	1.4	2.421052632
Orchan	-1.0	4.2
Moräe	0.4	2.333333333
Gingen	0.411764706	2.315789474
tehset	-0.3	3.0
liefr'	0.6	2.107142857
Tag"*	0.970588235	2.095238095
Murr	-1.0	2.105263158
Mangel	-1.9	3.0625
kausendt	0.823529412	3.157894737
