word	positive	negative	anger	anticipation	disgust	fear	joy	sadness	surprise	trust
Nikotin	0	1	0	0	1	0	0	0	0	0
Empfehlenswert	1	0	0	0	0	0	0	0	0	1
Avocado	0	0	0	0	0	0	0	0	0	0
abfahren	0	0	0	1	0	0	0	1	0	0
statisch	0	0	0	0	0	0	0	0	0	0
knarren	0	1	0	0	0	0	0	0	0	0
Risiko	0	1	0	1	0	1	0	0	0	0
Schuster	0	0	0	0	0	0	0	0	0	0
Schlacht	0	1	1	0	0	0	0	0	0	0
Diffamierung	0	1	0	0	1	1	0	0	0	0
Individualität	1	0	0	0	0	0	0	0	0	0
Sprache	0	0	0	0	0	0	0	0	0	0
Western	0	0	0	0	0	0	0	0	0	0
Ungeordnet	0	1	0	0	0	0	0	0	0	0
Jornada	0	1	0	0	0	0	0	0	0	0
Verband	0	0	0	0	0	0	0	0	0	0
regional	0	0	0	0	0	0	0	0	0	0
nähen	0	0	0	0	0	0	0	0	0	0
Modernismus	0	0	0	0	0	0	0	0	0	0
energisch	1	0	0	0	0	0	0	0	0	0
Grosszügigkeit	1	0	0	1	0	0	1	0	1	1
Fokus	1	0	0	0	0	0	0	0	0	0
träumen	0	0	0	0	0	0	0	0	0	0
Volley	0	0	0	0	0	0	0	0	0	0
Stoffwechsel	0	0	0	0	0	0	0	0	0	0
Botschaft	0	0	0	0	0	0	0	0	0	0
Distal	0	0	0	0	0	0	0	0	0	0
Sack	0	0	0	0	0	0	0	0	0	0
Lese	1	0	0	0	0	0	0	0	0	0
Rachen	0	0	0	0	0	1	0	0	0	0
prähistorisch	0	0	0	0	0	0	0	0	0	0
Wesen	0	0	0	0	0	0	0	0	0	0
Büschel	0	1	0	0	0	0	0	0	0	0
Rotor	0	0	0	0	0	0	0	0	0	0
Mitternacht	0	0	0	0	0	0	0	0	0	0
Rücktritt	0	1	0	0	0	0	0	1	1	0
Stellvertreter	0	0	0	0	0	0	0	0	0	1
Messen	0	0	0	0	0	0	0	0	0	0
konfiszieren	0	1	1	0	0	0	0	1	0	0
elegant	1	0	0	0	0	0	1	0	0	0
Hockey	0	0	0	0	0	0	0	0	0	0
Messer	0	0	0	0	0	0	0	0	0	0
pädagogisch	1	0	0	0	0	0	0	0	0	1
Schimmer	1	0	0	1	0	0	1	0	1	0
Dreieinigkeit	0	0	0	0	0	0	0	0	0	0
Schmiere	0	1	0	0	1	0	0	0	0	0
Medizinische	1	0	0	1	0	1	0	0	0	1
abschwächen	0	0	0	0	0	0	0	0	0	0
Beschwerden	0	1	0	0	0	0	0	1	0	0
äusserlich	0	0	0	0	0	0	0	0	0	0
fossil	0	0	0	0	0	0	0	0	0	0
annehmen	0	0	0	0	0	0	0	0	0	0
Unterbrechung	0	0	0	0	0	0	0	0	0	0
Amphetamine	0	1	0	0	1	0	0	0	0	0
gipfeln	0	0	0	0	0	0	0	0	0	0
glaubwürdig	1	0	0	0	0	0	0	0	0	1
Herausragen	0	0	0	0	0	0	0	0	0	0
herb	0	1	0	0	0	1	0	1	0	0
cremig	0	0	0	0	0	0	0	0	0	0
gesellig	1	0	0	0	0	0	0	0	0	0
Umzug	0	0	0	0	0	0	0	0	0	0
vorher	0	0	0	0	0	0	0	0	0	0
Schlachtung	0	1	1	0	1	1	0	1	1	0
lokalisieren	0	0	0	0	0	0	0	0	0	0
Millionär	0	0	0	0	0	0	0	0	0	0
speien	0	0	0	0	1	0	0	0	0	0
Börse	0	0	0	0	0	0	0	0	0	0
Zoologie	0	0	0	0	0	0	0	0	0	0
anfällig	0	1	0	0	0	0	0	0	0	0
Mischte	0	0	0	0	0	0	0	0	0	0
akzeptieren	0	0	0	0	0	0	0	0	0	0
Prostituierte	0	1	0	0	1	0	0	0	0	0
unwirtlich	0	1	0	0	0	0	0	1	0	0
Alternative	0	0	0	0	0	0	0	0	0	0
verletzt	0	1	0	0	0	1	0	1	0	0
balsamisch	0	0	0	0	0	0	0	0	0	0
Mangel	0	1	1	0	1	1	0	1	0	0
Raupe	0	0	0	0	0	0	0	0	0	0
Dexter	0	0	0	0	0	0	0	0	0	0
Schüssel	0	0	0	0	0	0	0	0	0	0
himmlisch	1	0	0	1	0	0	1	0	0	1
Basis	0	0	0	0	0	0	0	0	0	1
Kleid	0	0	0	0	0	0	0	0	0	0
unvollständig	0	0	0	0	0	0	0	0	0	0
Perücke	0	0	0	0	0	0	0	0	0	0
Klassifikation	0	0	0	0	0	0	0	0	0	0
Manieriert	1	0	0	0	0	0	0	0	0	0
Messing	0	0	0	0	0	0	0	0	0	0
Infeasible	0	0	0	0	0	0	0	0	0	0
reagieren	0	0	1	0	0	1	0	0	0	0
Attribut	0	0	0	0	0	0	0	0	0	0
Lunge	0	0	0	0	0	0	0	0	0	0
Nachsicht	0	0	0	0	0	0	0	0	0	0
Liegeplatz	0	0	0	0	0	0	0	0	0	1
Mannschaft	0	0	0	0	0	0	0	0	0	1
Gemeinschaft	1	0	0	0	0	0	0	0	0	0
Untermauern	0	0	0	0	0	0	0	0	0	1
Nachruf	0	1	0	0	0	0	0	1	0	0
Gentry	1	0	0	0	0	0	0	0	0	1
Göttlichkeit	1	0	0	0	0	0	0	0	0	0
angeschlossen	1	0	0	0	0	0	0	0	0	0
Eigentumsübertragung	0	0	0	0	0	0	0	0	0	1
giftig	0	1	0	0	1	0	0	0	0	0
Verzückt	1	0	0	0	0	0	1	0	1	1
Dumps	0	1	1	0	0	0	0	1	0	0
Person	0	0	0	0	0	0	0	0	0	0
Strobe	0	0	0	0	0	0	0	0	0	0
Blindheit	0	1	0	0	0	0	0	1	0	0
Chinook	0	0	0	0	0	0	0	0	0	0
Praxis	0	0	0	0	0	0	0	0	0	0
körperlosen	0	1	0	0	0	1	0	1	0	0
gefühllos	0	1	1	0	1	0	0	0	0	0
Indigo	0	0	0	0	0	0	0	0	0	0
Stiefel	0	0	0	0	0	0	0	0	0	0
Text	0	0	0	0	0	0	0	0	0	0
Rivalität	0	1	1	0	0	0	0	0	0	0
locken	0	0	0	0	0	0	0	0	0	0
Gewitter	0	0	0	0	0	0	0	0	0	0
Missachtung	0	1	0	0	0	0	0	0	0	0
wachsen	1	0	0	1	0	0	1	0	0	1
Luxation	0	0	0	0	0	0	0	0	0	0
Gemalt	0	0	0	0	0	0	0	0	0	0
gewährt	1	0	0	0	0	0	0	0	0	0
