word	positive	negative	anger	anticipation	disgust	fear	joy	sadness	surprise	trust
Nikotin	0	1	0	0	1	0	0	0	0	0
abfahren	0	0	0	1	0	0	0	1	0	0
Schlacht	0	1	1	0	0	0	0	0	0	0
Diffamierung	0	1	0	0	1	1	0	0	0	0
Individualität	1	0	0	0	0	0	0	0	0	0
zweideutig	0	1	0	0	0	0	0	0	0	0
Rachen	0	0	0	0	0	1	0	0	0	0
Büschel	0	1	0	0	0	0	0	0	0	0
Nickerchen	1	0	0	0	0	0	1	0	0	0
Rücktritt	0	1	0	0	0	0	0	1	1	0
konfiszieren	0	1	1	0	0	0	0	1	0	0
elegant	1	0	0	0	0	0	1	0	0	0
pädagogisch	1	0	0	0	0	0	0	0	0	1
üblich	1	0	0	0	0	0	0	0	0	1
Schmiere	0	1	0	0	1	0	0	0	0	0
kugelsicher	1	0	0	0	0	0	0	0	0	0
fingern	0	1	0	0	0	0	0	0	0	0
Beschwerden	0	1	0	0	0	0	0	1	0	0
Allheilmittel	1	0	0	0	0	0	0	0	0	0
Amphetamine	0	1	0	0	1	0	0	0	0	0
glaubwürdig	1	0	0	0	0	0	0	0	0	1
herb	0	1	0	0	0	1	0	1	0	0
Schlachtung	0	1	1	0	1	1	0	1	1	0
lokalisieren	0	0	0	1	0	0	0	0	0	0
speien	0	0	0	0	1	0	0	0	0	0
lüstern	0	1	0	0	0	0	0	0	0	0
Prostituierte	0	1	0	0	1	0	0	0	0	0
unwirtlich	0	1	0	0	0	0	0	1	0	0
kontaktfreudig	1	0	0	0	0	0	0	0	0	0
verletzt	0	1	1	0	0	1	0	1	0	0
Mangel	0	1	1	0	1	1	0	1	0	0
himmlisch	1	0	0	1	0	0	1	0	0	1
missbilligen	0	1	1	0	1	1	0	1	0	0
Basis	0	0	0	0	0	0	0	0	0	1
verschmutzt	0	1	0	0	1	0	0	0	0	0
verurteilt	0	1	0	0	0	1	0	1	0	0
reagieren	0	0	1	0	0	1	0	0	0	0
Nachsicht	1	0	0	0	0	0	0	0	0	0
Liegeplatz	1	0	0	0	0	0	0	0	0	0
Mannschaft	0	0	0	0	0	0	0	0	0	1
Gemeinschaft	1	0	0	0	0	0	1	0	0	1
Trophäe	1	0	0	1	0	0	1	0	1	1
Nachruf	0	1	0	0	0	0	0	1	0	0
Gentry	1	0	0	0	0	0	0	0	0	1
angeschlossen	1	0	0	0	0	0	0	0	0	0
Eigentumsübertragung	0	0	0	0	0	0	0	0	0	1
giftig	0	1	1	0	1	1	0	1	0	0
Dumps	0	1	1	0	0	0	0	1	0	0
Blindheit	0	1	0	0	0	0	0	1	0	0
Praxis	1	0	0	0	0	0	0	0	0	0
gefühllos	0	1	1	0	1	0	0	0	0	0
Rivalität	0	1	1	0	0	0	0	0	0	0
gewährt	1	0	0	0	0	0	0	0	0	0
Großmutter	1	0	0	0	0	0	0	0	0	0
Katheter	0	1	0	0	0	0	0	0	0	0
deprimiert	0	1	1	0	0	1	0	1	0	0
sterben	0	1	0	0	0	1	0	1	0	0
uninteressiert	0	1	0	0	0	0	0	0	0	0
Nächstenliebe	1	0	0	0	0	0	1	0	0	0
Zucker	1	0	0	0	0	0	0	0	0	0
Söldner	0	1	0	0	0	1	0	0	0	0
kleinlich	0	1	0	0	0	0	0	0	0	0
Ungeheuerlichkeit	0	1	1	0	1	1	0	0	1	0
Atom	1	0	0	0	0	0	0	0	0	0
Unkraut	0	1	0	0	0	0	0	1	0	0
unterhaltsam	1	0	0	1	0	0	1	0	0	0
Transaktion	0	0	0	0	0	0	0	0	0	1
Optimismus	1	0	0	1	0	0	1	0	1	1
persönlich	0	0	0	0	0	0	0	0	0	1
kampflustig	0	1	1	0	0	1	0	0	0	0
letztlich	1	0	0	1	0	0	0	0	0	0
Enkelkinder	1	0	0	1	0	0	1	0	0	1
Navigator	0	0	0	1	0	0	0	0	0	1
Nachbarschaft	0	0	0	1	0	0	0	0	0	0
endgültig	1	0	0	0	0	0	0	0	0	1
Trost	1	0	0	0	0	0	0	0	0	0
Malignität	0	1	0	0	0	1	0	1	0	0
falsch	0	1	1	0	1	0	0	0	0	0
gebildet	1	0	0	0	0	0	0	0	0	0
Sonnenschein	1	0	0	0	0	0	1	0	0	0
donnernd	0	1	1	0	0	1	0	0	0	0
versunken	1	0	0	0	0	0	0	0	0	0
überlasten	0	1	0	0	0	0	0	0	0	0
Ausführung	0	1	1	0	0	1	0	1	0	1
zucken	0	1	0	1	1	1	0	1	1	0
Unterhaltung	1	0	0	1	0	0	1	0	1	1
rechthaberisch	0	1	1	0	0	0	0	0	0	0
abenteuerlich	1	0	0	0	0	0	0	0	0	0
zwecklos	0	1	0	0	0	0	0	1	0	0
düster	0	1	0	0	1	1	0	1	0	0
eingeweiht	0	1	0	0	0	0	0	0	0	1
festhalten	0	1	0	0	0	0	0	0	0	0
Sack	0	1	0	1	0	0	0	0	0	0
Peinlichkeit	0	1	0	0	1	0	0	0	0	0
verschwommen	0	1	0	0	0	0	0	0	0	0
Spreu	0	1	1	0	0	1	0	0	0	0
überflüssig	0	1	0	0	0	0	0	0	0	0
Sofa	0	0	0	0	0	0	0	1	0	0
Günstlingswirtschaft	1	0	0	0	0	0	0	0	0	0
beißen	0	1	0	0	0	0	0	0	0	0
Horn	0	0	0	1	0	0	0	0	0	0
herzlos	0	1	0	0	0	0	0	1	0	0
angehen	0	0	1	0	0	0	0	0	1	0
vernarrt	1	0	0	0	0	0	0	0	0	0
Unmenschlichkeit	0	1	0	0	0	0	0	1	0	0
zersetzen	0	0	0	0	1	0	0	0	0	0
blasphemisch	0	1	1	0	1	0	0	0	0	0
misplace	0	1	1	0	1	0	0	0	0	0
Erbschaft	1	0	0	1	0	0	1	0	1	1
mürrisch	0	1	1	0	1	0	0	1	0	0
bitten	0	1	0	0	0	0	0	1	0	0
fäkal	0	1	0	0	1	0	0	0	0	0
beschäftigt	1	0	0	1	0	0	1	0	0	1
Schlaganfall	0	1	0	0	0	1	0	1	0	0
Meisterschaft	1	0	1	0	0	0	1	0	0	1
Samt	1	0	0	0	0	0	0	0	0	0
Invasion	0	1	1	0	0	0	0	0	0	0
unbestreitbar	1	0	0	0	0	0	0	0	0	1
Räumung	0	1	1	0	1	1	0	1	0	0
mathematisch	0	0	0	0	0	0	0	0	0	1
blutrünstig	0	1	1	0	1	1	0	0	0	0
Vollständigkeit	1	0	0	0	0	0	0	0	0	0
galant	1	0	0	0	0	0	0	0	0	0
hysterisch	0	1	1	0	0	1	0	0	0	0
Gelächter	1	0	0	1	0	0	1	0	1	0
Schein	0	1	1	0	1	0	0	0	0	0
verraten	0	1	1	0	1	0	0	1	1	0
treu	1	0	0	0	0	0	0	0	0	1
Angeln	0	1	0	1	0	0	0	0	0	0
richtig	1	0	0	0	0	0	0	0	0	1
Bissen	0	1	0	0	0	0	0	0	0	0
Prüfung	0	1	0	0	0	1	0	0	1	0
Märtyrer	0	1	0	0	0	1	0	1	0	0
Müßiggänger	0	1	0	0	0	0	0	0	0	0
streng	0	1	0	0	0	0	0	0	0	0
Band	1	0	1	1	0	0	1	0	0	0
Bank	0	0	0	0	0	0	0	0	0	1
Mahlen	0	1	0	0	0	0	0	0	0	0
Sprachwissenschaftler	1	0	0	0	0	0	0	0	0	1
praktisch	1	0	0	0	0	0	0	0	0	0
Beachtung	1	0	0	0	0	0	0	0	0	1
Sicherheit	1	0	0	0	0	0	0	0	0	1
Ungeduld	0	1	0	0	0	0	0	0	0	0
Geburt	1	0	0	1	0	1	1	0	0	1
Spa	1	0	0	1	0	0	1	0	1	1
singen	1	0	0	1	0	0	1	1	0	1
gefangen	0	1	0	0	0	1	0	1	0	0
Unehre	0	1	1	0	1	1	0	1	0	0
Eiter	0	1	0	0	1	0	0	0	0	0
emulieren	1	0	0	0	0	0	0	0	0	0
infizieren	0	1	0	0	1	0	0	0	0	0
Heilung	1	0	0	1	0	0	1	0	0	1
Briefwechsel	1	0	0	1	0	0	0	0	0	0
buss	1	0	0	0	0	0	1	0	0	0
ungeteilt	1	0	0	0	0	0	0	0	0	0
stärken	1	0	0	0	0	0	0	0	0	0
Animus	0	1	1	0	0	0	0	0	0	0
schiffbar	1	0	0	1	0	0	0	0	0	0
Schreckgespenst	0	1	1	0	0	1	0	1	0	0
Kanzler	0	0	0	0	0	0	0	0	0	1
Säbel	0	1	1	0	0	1	0	0	0	0
Dämon	0	1	1	0	1	1	0	1	0	0
Haltbarkeit	1	0	0	0	0	0	0	0	0	1
Epidemie	0	1	1	1	1	1	0	1	1	0
schwach	0	1	0	0	0	0	0	1	0	0
Menses	1	0	0	0	0	0	0	0	0	0
Betrieb	0	0	0	0	0	1	0	0	0	1
auslassen	0	1	0	0	0	0	0	0	0	0
fair	1	0	0	0	0	0	0	0	0	0
zahlen	1	0	0	1	0	0	1	0	0	1
Greifvögel	0	1	0	0	0	1	0	0	0	0
