word	positive	negative	anger	anticipation	disgust	fear	joy	sadness	surprise	trust
Makten	1	0	0	0	0	0	0	0	0	0
Sargk	0	1	0	0	0	1	0	1	0	0
Jntuitionen	1	0	0	0	0	0	0	0	0	1
JUGEND	1	0	1	1	0	1	1	0	1	0
Apostolischem	0	0	0	0	0	0	0	0	0	1
gelübten	1	0	0	1	0	0	1	0	0	1
lobenswerth	1	0	0	0	0	0	1	0	0	1
flihen	0	1	0	0	0	1	0	0	0	0
urloup	1	0	0	1	0	0	1	0	0	0
verhäfftigen	0	1	1	0	1	1	0	0	1	0
fawl	0	1	1	0	1	1	0	0	0	0
flihet	0	1	0	0	0	1	0	0	0	0
bestaen	1	0	0	1	0	0	1	0	1	1
gröster	0	0	0	0	1	0	0	0	1	1
Sterb '	0	1	0	0	0	1	0	1	0	0
verweigeret	0	1	1	0	0	0	0	0	0	0
verfensteren	1	0	0	1	0	0	1	0	1	0
verleumbdungen	0	1	1	0	0	1	0	0	0	1
gelübtes	1	0	0	1	0	0	1	0	0	1
schleger	0	1	0	0	0	0	0	0	0	0
schleget	0	1	1	0	0	1	0	1	1	0
vnerfarenheit	0	1	0	0	0	0	0	0	0	0
unbestimtes	0	1	0	0	0	0	0	0	0	0
hassist	0	1	1	0	1	1	0	1	0	0
Spieler	0	1	0	1	0	0	0	0	1	0
hinterin	0	1	0	0	0	0	0	1	0	0
Heiling	1	0	0	0	0	0	0	0	0	0
Demüthigster	1	0	0	0	0	0	0	0	0	0
schlegen	0	1	1	0	0	1	0	1	1	0
Arbeitsversäumnisse	0	1	0	0	0	0	0	0	0	0
stärbliche	0	1	0	0	0	0	0	0	0	0
stain	0	1	1	0	0	0	0	0	0	0
entsezlich	0	1	0	0	1	1	0	0	0	0
Demüthigsten	1	0	0	0	0	0	0	0	0	0
Gotes	1	0	0	1	0	1	1	0	0	1
Betriga	0	1	1	0	1	1	0	1	1	0
Caen	1	0	0	0	0	0	0	0	0	0
berührts	0	1	0	0	0	0	0	0	0	0
allerleichtsten	1	0	0	0	0	0	0	0	0	0
gottloß	0	1	1	0	0	0	0	0	0	0
protzig	0	1	0	0	0	0	0	0	0	0
GOld	1	0	0	0	0	0	0	0	0	0
veintschafft	0	1	1	0	0	1	0	1	0	0
qvaal	0	1	1	0	0	1	0	1	0	0
überredtet	0	0	0	0	0	0	0	0	0	1
Eldesten	1	0	0	0	0	0	0	0	0	1
trukkenem	0	1	0	0	0	0	0	1	0	0
trukkenes	0	1	0	0	0	0	0	1	0	0
Schenrtzen	0	1	1	0	1	0	0	1	1	0
überredten	0	0	0	0	0	0	0	0	0	1
vnnder	0	1	0	0	0	0	0	1	0	0
Schhatz	1	0	0	1	0	0	1	0	0	1
Uberschusse	0	1	0	0	0	0	0	0	0	0
Hoegen	1	0	0	1	0	1	1	0	0	1
fterben	0	1	0	0	0	1	0	1	0	0
lyrischeren	1	0	0	0	0	0	1	0	0	0
richtigst	1	0	0	0	0	0	0	0	0	1
mütterlich es	1	1	0	1	0	0	0	0	0	0
fleischlichem	0	1	0	0	0	0	0	0	0	0
beständgem	0	1	0	0	0	1	0	0	0	0
Fortsetz	1	0	0	1	0	0	0	0	0	1
Sacc	0	1	0	1	0	0	0	0	0	0
muthig	1	0	0	0	0	1	0	0	0	0
unterdrükket	0	1	1	0	1	1	0	1	0	0
festerer	1	0	0	1	0	0	1	0	1	0
Thalente	1	0	0	0	0	0	0	0	0	0
Sack	0	1	0	1	0	0	0	0	0	0
neidischerer	0	1	1	0	1	0	0	0	0	0
gälder	1	0	1	1	0	0	1	0	1	1
unterdrükken	0	1	1	0	1	1	0	1	0	0
verbandet	0	0	0	0	0	0	0	0	0	1
Gräffinn	1	0	0	0	0	0	0	0	0	0
daucht	1	0	0	1	0	1	1	0	1	1
stirpt	0	1	0	0	0	1	0	1	0	0
bvtler	1	0	0	0	0	0	0	0	0	1
Verstirbt	0	1	0	0	0	0	0	1	0	0
indolenten	0	1	0	0	0	0	0	0	0	0
Loew	1	0	0	0	0	1	0	0	0	0
Unmenschlichkeit	0	1	0	0	0	0	0	1	0	0
Wertvolleres	1	0	0	0	0	0	0	0	0	0
Zusammenstoße	0	1	1	0	0	0	0	0	0	0
tott	0	1	1	1	1	1	0	1	1	0
Rücktritt	0	1	0	0	0	0	0	1	1	0
Sehliger	1	0	0	0	0	0	1	0	0	0
Concentrische	1	0	0	0	0	0	0	0	0	0
allerzufälligsten	0	1	0	0	0	1	0	0	1	0
fürsichtigem	1	0	0	1	0	1	0	0	0	1
fürsichtigen	1	0	0	1	0	1	0	0	0	1
evacuiren	0	1	0	0	0	1	0	0	0	0
fürsichtiger	1	0	0	1	0	1	0	0	0	1
fürsichtiges	1	0	0	1	0	1	0	0	0	1
