word	positive	negative	neutral
progredient	1	0	0
knicken	0	1	0
abfahren	1	0	0
statisch	0	1	0
Unzuverlässigkeit	0	1	0
ausschmücken	1	0	0
Abbau	0	1	0
Reibkraft	0	1	0
Risiko	0	1	0
Anfressung	0	1	0
ungesichert	0	1	0
Schlacht	0	1	0
Diffamierung	0	1	0
Bläschenbildung	0	1	0
Individualität	1	0	0
Höhlenmensch	0	1	0
Hieb	0	1	0
dürsten	0	1	0
Wortgewandtheit	1	0	0
abliegen	0	1	0
freizügig	1	0	0
Peinigung	0	1	0
besorgniserregend	0	1	0
ruhelos	0	1	0
dreikäsehoch	0	1	0
wahrhaftig	1	0	0
Unmenschlichkeit	0	1	0
nährend	1	0	0
elegant	1	0	0
Mirakel	1	0	0
drakonisch	0	1	0
entgegensetzen	0	1	0
fleißig	1	0	0
abschwächen	1	0	0
unbeendet	0	1	0
wohlverstehen	1	0	0
annehmen	1	0	0
Unterbrechung	0	1	0
Lümmel	0	1	0
Präferenzensystem	1	0	0
herb	0	1	0
Schmarotzer	0	1	0
Anerkenntnis	1	0	0
gesellig	1	0	0
Knacki	0	1	0
Bedeutsamkeit	1	0	0
aufrütteln	1	0	0
Selbstbestimmung	1	0	0
Abmaß	0	1	0
übermäßig	1	0	0
gottlos	0	1	0
unwirtlich	0	1	0
sehnsüchtig	0	1	0
Albernheit	0	1	0
Mangel	0	1	0
gewissenhaft	1	0	0
golden	1	0	0
abheilen	1	0	0
himmlisch	1	0	0
missbilligen	0	1	0
schwärmen	1	0	0
reichen	1	0	0
unvollständig	0	1	0
angsteinjagend	0	1	0
abnötigen	0	1	0
stern	1	0	0
Ausblick	1	0	0
Beruhigungsmittel	0	1	0
kontaktfrei	0	1	0
ableben	0	1	0
Überlebensfähigkeit	1	0	0
erstaunlicherweise	1	0	0
Herumtoben	0	1	0
großmächtig	0	1	0
Bruchlinie	0	1	0
Invasor	0	1	0
energiegeladen	1	0	0
bewusst	1	0	0
giftig	0	1	0
Blindheit	0	1	0
hold	1	0	0
kunterbunt	0	1	0
gefühllos	0	1	0
untreu	0	1	0
unbeaufsichtigt	0	1	0
Rivalität	0	1	0
deflationistisch	1	0	0
Gewitter	0	1	0
intakt	1	0	0
Teuerung	0	1	0
Freistatt	1	0	0
Fehlordnung	0	1	0
bedrücken	0	1	0
malign	0	1	0
abbauwürdig	1	0	0
wehrunwürdig	0	1	0
warmherzig	1	0	0
Eckpfeiler	1	0	0
akzeptierbar	1	0	0
nachteilig	0	1	0
intervenieren	1	0	0
schikanieren	0	1	0
