word	positive	negative	anger	anticipation	disgust	fear	joy	sadness	surprise	trust
Toast	1	0	0	0	0	0	1	0	0	0
Urteil	0	0	0	0	0	0	0	0	1	0
Zuwiderhandlung	0	1	0	0	0	0	0	0	0	0
Nikotin	0	1	0	0	1	0	0	0	0	0
Pazifik	1	0	0	0	0	0	0	0	0	0
Anleitung	1	0	0	0	0	0	0	0	0	1
Salbe	1	0	0	0	0	0	0	0	0	0
Gläubige	0	0	0	0	0	0	0	0	0	1
abfahren	0	0	0	1	0	0	0	1	0	0
Ehe	1	0	0	1	0	0	1	0	0	1
Einführung	1	0	0	1	0	0	0	0	0	0
beobachten	0	0	0	1	0	1	0	0	0	0
Demenz	0	1	0	0	0	1	0	1	0	0
unentgeltlich	0	0	0	0	1	0	0	0	0	0
Risiko	0	1	0	1	0	1	0	0	0	0
derb	0	1	0	0	0	0	0	0	0	0
Lorbeer	1	0	0	0	0	0	1	0	0	0
Allheilmittel	1	0	0	0	0	0	0	0	0	0
Stöhnen	0	1	0	0	1	0	0	1	0	0
Wahnsinn	0	1	1	0	1	1	0	1	0	0
porno	0	1	0	0	0	0	0	0	0	0
Schlacht	0	1	1	0	0	0	0	0	0	0
Diffamierung	0	1	0	0	1	1	0	0	0	0
ergrauen	0	1	0	0	0	0	0	1	0	0
Individualität	1	0	0	0	0	0	0	0	0	0
Kleie	0	0	0	0	1	0	0	0	0	0
pleite	0	1	0	0	0	1	0	1	0	0
Nachwirkung	0	1	1	0	1	1	0	1	0	0
Trophäe	1	0	0	1	0	0	1	0	1	1
Uhr	0	0	0	1	0	0	0	0	0	0
Ungläubige	0	1	1	0	1	1	0	0	0	0
Slum	0	1	0	0	1	0	0	0	0	0
voraus	1	0	0	0	0	0	0	0	0	0
Evangelium	1	0	0	0	0	0	0	0	0	1
handlich	1	0	0	0	0	0	0	0	0	0
Verbrennung	0	1	0	0	0	0	0	0	0	0
vergessen	0	1	1	0	0	1	0	0	0	0
selbstgefällig	0	1	0	0	0	0	0	0	0	0
überraschen	0	0	0	0	0	0	0	0	1	0
Erstgeborene	1	0	0	1	0	0	1	0	0	1
Andenken	1	0	0	0	0	0	0	0	0	0
Ruine	0	1	0	0	0	1	0	1	0	0
Transaktion	0	0	0	0	0	0	0	0	0	1
nacheilend	0	1	1	1	1	0	0	1	0	0
Trotz	0	1	1	0	1	1	0	0	0	0
Banshee	0	1	1	0	1	1	0	1	0	0
Stillstand	0	1	0	0	0	0	0	0	0	0
Baby	1	0	0	0	0	0	1	0	0	0
Basketball	1	0	0	1	0	0	1	0	0	0
Aufregung	1	0	0	1	0	0	1	0	1	0
vertraut	1	0	0	0	0	0	0	0	0	1
insolvent	0	1	0	0	0	1	0	1	0	1
Technologie	1	0	0	0	0	0	0	0	0	0
Kampagne	0	1	1	0	0	1	0	0	0	0
Unvollkommenheit	0	1	0	0	0	0	0	0	0	0
Wucht	0	1	1	0	0	0	0	0	0	0
Neuralgie	0	1	0	0	0	1	0	1	0	0
zweideutig	0	1	0	0	0	0	0	0	0	0
Dringlichkeit	0	0	0	1	0	1	0	0	1	0
Räude	0	1	0	0	1	1	0	0	0	0
etablieren	1	0	0	0	0	0	1	0	0	0
Sack	0	1	0	1	0	0	0	0	0	0
Schriftsteller	1	0	0	0	0	0	0	0	0	0
Einspritzung	0	0	0	0	0	1	0	0	0	0
sympathisch	1	0	0	0	0	1	1	1	0	1
Regiment	0	0	0	0	0	1	0	0	0	0
Rachen	0	0	0	0	0	1	0	0	0	0
Dämpfer	0	1	0	0	0	0	0	0	0	0
Wohnzimmer	0	1	0	0	0	0	0	0	0	0
Unfähigkeit	0	1	0	0	0	0	0	1	0	0
reichlich	1	0	0	0	0	0	1	0	0	0
Büschel	0	1	0	0	0	0	0	0	0	0
verfolgen	0	1	0	0	0	1	0	0	0	0
Nickerchen	1	0	0	0	0	0	1	0	0	0
Rücktritt	0	1	0	0	0	0	0	1	1	0
aufheben	0	1	0	0	0	0	0	0	0	0
Festival	1	0	0	1	0	0	1	0	1	0
naiv	0	1	0	0	0	0	0	0	0	0
Kaplan	0	0	0	0	0	0	0	0	0	1
dreist	0	1	1	0	0	0	0	0	0	0
konfiszieren	0	1	1	0	0	0	0	1	0	0
Abfahrt	0	1	0	0	0	0	0	1	0	0
konspirieren	0	1	0	0	0	1	0	0	0	0
elegant	1	0	0	0	0	0	1	0	0	0
schuldig	0	1	1	0	0	0	0	1	0	0
Schimmel	0	1	0	0	1	0	0	0	0	0
unzertrennlich	1	0	0	0	0	0	1	0	0	1
gütlich	1	0	0	0	0	0	1	0	0	0
pädagogisch	1	0	0	0	0	0	0	0	0	1
entgegensetzen	0	1	1	0	0	1	0	0	0	0
Antipathie	0	1	1	0	1	0	0	0	0	0
Schimmer	1	0	0	1	0	0	1	0	1	0
Kindheit	1	0	0	0	0	0	1	0	0	0
Spuk	0	1	0	0	0	1	0	0	0	0
Schmiere	0	1	0	0	1	0	0	0	0	0
Herzog	1	0	0	0	0	0	0	0	0	0
Gefangenschaft	0	1	1	0	1	1	0	1	0	0
Untersuchung	0	0	0	1	0	0	0	0	0	0
kugelsicher	1	0	0	0	0	0	0	0	0	0
Konsole	1	0	0	0	0	0	0	1	0	0
verstimmen	0	1	1	0	1	0	0	1	0	0
schädlich	0	1	1	0	1	1	0	1	0	0
fingern	0	1	0	0	0	0	0	0	0	0
Eiche	1	0	0	0	0	0	0	0	0	0
Dankbarkeit	1	0	0	0	0	0	1	0	0	0
Plädoyer	0	1	0	1	0	1	0	1	0	0
Magnetismus	1	0	0	0	0	0	0	0	0	0
bewachen	0	0	0	0	0	0	0	0	0	1
annehmen	0	0	0	0	0	0	0	0	0	1
Unterbrechung	0	1	1	0	0	1	0	0	1	0
Amphetamine	0	1	0	0	1	0	0	0	0	0
Überfluss	1	0	0	1	1	0	1	0	0	1
Schmerz	0	1	0	0	0	1	0	1	0	0
Verzögerung	0	1	1	0	1	1	0	1	0	0
glaubwürdig	1	0	0	0	0	0	0	0	0	1
Täter	0	1	1	0	1	1	0	1	0	0
