word	emotion	arousel
Toast	0.6	2.368421053
Laube	1.3	1.75
ergänzen	0.764705882	2.2
Portwein	1.1	2.166666667
scheiden	-2.0	3.222222222
Eidechse	0.32	2.82
betteln	-1.5	3.111111111
Ehe	0.647058824	3.19047619
Abbau	-1.0	3.0
Lehrerin	-0.2	2.666666667
steigen	0.882352941	2.0
Zopf	0.77	2.18
derb	-1.1	2.631578947
Lorbeer	1.4	2.111111111
Nikotin	-0.7	3.238095238
Wahnsinn	-1.7	4.111111111
Hose	0.77	2.0
Schlacht	-2.2	3.888888889
Sprache	1.735294118	2.611111111
Lunge	0.3	2.777777778
Charakter	1.264705882	3.421052632
Klient	-0.2	2.789473684
Salbe	0.9	2.210526316
Platz	0.382352941	2.117647059
anfallen	-0.9	3.789473684
vergessen	-0.970588235	2.904761905
Grenze	-0.2	3.0
Verband	-1.18	2.95
Fessel	-1.3	4.05
Farbe	1.6	2.210526316
Ruine	-0.3	2.55
Taifun	-1.25	3.888888889
Trotz	-0.823529412	3.0
Christus	-0.117647059	2.611111111
Bandit	-0.95	2.578947368
Plagiat	-0.8	2.473684211
pflegen	0.941176471	2.666666667
Steak	1.4	2.65
Richter	-0.823529412	3.523809524
versetzen	-0.676470588	2.631578947
Wucht	-0.3	4.05
Nachruf	-0.7	2.642857143
Botschaft	0.735294118	3.285714286
ruhelos	-1.4	2.578947368
Dose	-0.18	2.0
Säge	-1.09	2.95
Frisur	0.75	2.714285714
Rachen	-0.9	2.210526316
anwidern	-2.0	3.526315789
Panda	1.45	2.64
berauben	-2.2	3.722222222
verfolgen	-1.735294118	3.7
Thema	0.15	2.222222222
Festtag	2.0	2.75
naiv	-0.8	2.315789474
dienen	-1.088235294	2.476190476
Abfahrt	0.3	3.117647059
Figur	0.35	2.526315789
Mirakel	0.6	2.761904762
Messer	-0.6	3.476190476
Theater	0.7	3.736842105
Forscher	1.088235294	2.666666667
Maibaum	0.8	2.142857143
Hocker	0.14	1.95
Manege	0.6	2.428571429
Arsenal	-0.9	2.285714286
Spuk	-0.8	2.842105263
Erzeuger	0.8	3.052631579
Melodram	-0.9	3.619047619
Vitamin	1.8	2.222222222
Sippe	-0.5	2.444444444
Eiche	1.45	1.722222222
Manko	-1.05	2.777777778
Knochen	-0.86	2.95
annehmen	0.735294118	2.380952381
Obhut	0.65	2.105263158
anerkennen	1.588235294	3.0
fördern	1.441176471	2.142857143
bezahlen	-0.529411765	2.535714286
Füller	0.73	2.32
überzeugen	0.5	2.952380952
bestätigen	0.970588235	2.210526316
Börse	-0.647058824	2.052631579
aufleben	1.8	2.888888889
Becher	0.55	1.714285714
Vorteil	1.8	2.75
Mohr	0.4	2.333333333
Spionage	-1.6	3.444444444
Wirrnis	-1.6	3.444444444
Mohn	0.3	2.055555556
barsch	-1.3	2.947368421
Mangel	-1.9	3.0625
Raupe	-0.15	2.157894737
Komfort	2.0	1.823529412
putzen	-1.4	2.210526316
Umsatz	0.088235294	2.722222222
Basis	0.35	1.722222222
Ethik	0.9	3.238095238
Frist	-1.2	3.19047619
reichen	0.617647059	1.789473684
Boot	1.05	2.82
Revolver	-2.14	4.14
Maßnahme	-0.529411765	2.421052632
Satan	-2.2	4.25
Mythos	0.9	3.0
stern	1.0	2.444444444
Polizist	-0.3	3.588235294
Drohung	-2.1	4.176470588
Ausblick	1.0	2.222222222
Romanze	1.7	3.647058824
Stau	-1.6	3.333333333
Schiller	0.9	2.578947368
Meute	-1.25	3.444444444
Insekt	-0.45	3.0
redselig	-0.1	2.5
Abart	-1.6	3.277777778
Ärgernis	-1.9	3.789473684
Uhr	0.088235294	1.789473684
Prognose	0.3	2.882352941
Blume	2.15	1.6875
Paprika	1.0	1.91
verteilen	1.029411765	1.947368421
warm	2.2	2.166666667
spezial	0.9	1.894736842
Delle	-0.9	2.333333333
Stube	0.8	1.894736842
Skelett	-0.3	3.333333333
Tatort	-1.0	3.428571429
Stiefel	0.77	2.23
Rache	-2.05	4.210526316
Gewitter	0.6	3.631578947
Abort	-0.9	2.380952381
Initiative	1.411764706	3.315789474
Wagnis	0.4	3.947368421
simpel	0.4	2.3
Annahme	0.235294118	2.3125
Lid	0.2	1.842105263
Fisch	0.36	2.36
Marxist	-0.9	2.473684211
Sarg	-2.3	4.0
anstehen	-0.9	2.473684211
Schlager	-0.4	2.444444444
Abt	0.2	1.526315789
Energie	2.1	3.470588235
Anleihe	-0.852941176	2.238095238
Banane	1.32	1.95
Junge	0.8	2.80952381
niemand	-1.1	1.842105263
satt	1.4	2.105263158
Bohne	0.65	1.578947368
